,Const. No.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency
73,6,GURUGU REVATHI,Jaathia Chethi Vruthula Ikya Vedika Party,183,4,187,0.12,Amadalavalasa
74,6,BURIDI GOURI SHANKAR,Jai Bharat National Party,110,3,113,0.07,Amadalavalasa
75,6,MUDDADA MADHUSUDANA RAO,Pyramid Party of India,85,0,85,0.05,Amadalavalasa
76,6,SEPENA SRINIVASA RAO,Bharatha Chaitanya Yuvajana Party,99,0,99,0.06,Amadalavalasa
77,6,GANAPATHI JAGADEESWARA RAO (JAGADEESH),Independent,535,11,546,0.34,Amadalavalasa
78,6,GANDHI SUVVARI,Independent,9188,349,9537,6.01,Amadalavalasa
79,6,MUDDADA RAMBUJJI,Independent,166,0,166,0.1,Amadalavalasa
80,6,LOLUGU VENKATA RAJASEKHAR,Independent,451,23,474,0.3,Amadalavalasa
81,6,SANAPALA SURESH KUMAR,Independent,383,3,386,0.24,Amadalavalasa
82,6,NOTA,None of the Above,2282,18,2300,1.45,Amadalavalasa
83,44,AITHABATHULA ANANDARAO,Telugu Desam,102426,1596,104022,58.56,Amalapuram
84,44,AITHABATHULA SUBHASHINI,Indian National Congress,1327,30,1357,0.76,Amalapuram
85,44,MOHAN BABU POLAMURI,Bahujan Samaj Party,1971,20,1991,1.12,Amalapuram
86,44,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,64594,800,65394,36.81,Amalapuram
87,44,AITABATHULA ABHIMANYUDU,Jatiya Jana Sena Party,278,1,279,0.16,Amalapuram
88,44,AITABATTULA ANANDA BABU,Navarang Congress Party,125,0,125,0.07,Amalapuram
89,44,ISWARYA BOJJA,Liberation Congress Party,95,3,98,0.06,Amalapuram
90,44,JANGA RAJENDRAKUMAR,Loktantrik Janta Dal,784,11,795,0.45,Amalapuram
91,44,DEVARAPALLI RAJIV,Jai Bharat National Party,90,0,90,0.05,Amalapuram
92,44,CHUTTUGULLA VEERA VENKATA SATYANARAYANA,Independent,309,6,315,0.18,Amalapuram
93,44,PARAMATA SYAMKUMAR,Independent,768,25,793,0.45,Amalapuram
94,44,BEERA RAMARAO,Independent,100,0,100,0.06,Amalapuram
95,44,VARASALA SATYANARAYANA,Independent,143,1,144,0.08,Amalapuram
96,44,NOTA,None of the Above,2105,28,2133,1.2,Amalapuram
97,30,I. R. GANGADHAR,Indian National Congress,1841,54,1895,1.1,Anakapalle
98,30,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,48652,710,49362,28.57,Anakapalle
99,30,SUDHIKONDA MANIKYALA RAO,Bahujan Samaj Party,1297,9,1306,0.76,Anakapalle
100,30,OMMI VENKAT YADAV,Samajwadi Party,381,4,385,0.22,Anakapalle
101,30,AMBIKADEVI POLAMARASETTY,Pyramid Party of India,238,7,245,0.14,Anakapalle
102,30,KANISETTY SURESH BABU,Jai Bharat National Party,692,8,700,0.41,Anakapalle
103,30,KONATHALA RAMAKRISHNA,Janasena Party,113185,1941,115126,66.63,Anakapalle
104,30,THOTA VENKATA SAI MUKUND,Praja Prasthanam Party,227,2,229,0.13,Anakapalle
105,30,DOMMESI APPARAO,Republican Party of India (Khobragade),274,1,275,0.16,Anakapalle
106,30,V.V. RAMACHANDRA RAO SURISETTY,Prem Janata Dal,435,1,436,0.25,Anakapalle
107,30,ALLA SATTI RAJU,Independent,313,1,314,0.18,Anakapalle
108,30,KAPARAPU SATYANARAYANA,Independent,652,0,652,0.38,Anakapalle
109,30,NOTA,None of the Above,1827,26,1853,1.07,Anakapalle
110,153,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,78273,2038,80311,42.36,Anantapur Urban
111,153,DAGGUPATI PRASAD,Telugu Desam,99062,4272,103334,54.51,Anantapur Urban
112,153,K. NAGARAJU,Bahujan Samaj Party,458,18,476,0.25,Anantapur Urban
113,153,AKULA RAGHAVENDRA,Jai Bharat National Party,302,7,309,0.16,Anantapur Urban
114,153,KUMMETHA SURYA SEKHARA REDDY,All India Forward Bloc,113,3,116,0.06,Anantapur Urban
115,153,C. JAFFER,Communist Party of India,2706,132,2838,1.5,Anantapur Urban
116,153,BHASKAR TALARI,All India Kisan Janatha party,81,1,82,0.04,Anantapur Urban
117,153,D. RAGHAVENDRA,Socialist Unity Centre Of India (COMMUNIST),109,3,112,0.06,Anantapur Urban
118,153,GADIYARAM MALLIKARJUNA SARMA,Independent,108,4,112,0.06,Anantapur Urban
119,153,CHIGICHERLA MALLIKARJUNA,Independent,64,1,65,0.03,Anantapur Urban
120,153,JAYALAKSHMI,Independent,86,2,88,0.05,Anantapur Urban
121,153,SREERANGARAJULA GOPINATH ROYAL,Independent,93,1,94,0.05,Anantapur Urban
122,153,V. SAI PRASAD,Independent,97,2,99,0.05,Anantapur Urban
123,153,V. SURENDRA RAO,Independent,49,1,50,0.03,Anantapur Urban
124,153,V. HARI KUMAR,Independent,110,0,110,0.06,Anantapur Urban
125,153,NOTA,None of the Above,1307,72,1379,0.73,Anantapur Urban
126,40,YELLA SRINIVASA RAO,Indian National Congress,1276,24,1300,0.66,Anaparthy
127,40,KOLLAM SRINU,Bahujan Samaj Party,306,2,308,0.16,Anaparthy
128,40,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,104705,1015,105720,53.73,Anaparthy
129,40,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,84138,732,84870,43.14,Anaparthy
130,40,KOVVURI SIVANANDA REDDY,Akhil Bharatiya Jan Sangh,289,1,290,0.15,Anaparthy
131,40,GANGADHAR LINGAM,Jaibhim Rao Bharat Party,269,2,271,0.14,Anaparthy
132,40,SHEK SARDHAR HUSSEN,Liberation Congress Party,284,1,285,0.14,Anaparthy
133,40,CHELLE SRINU,Independent,275,3,278,0.14,Anaparthy
134,40,PULAGAM SURREDDY,Independent,327,0,327,0.17,Anaparthy
135,40,NOTA,None of the Above,3093,12,3105,1.58,Anaparthy
136,28,GANGADHARASWAMI SETTY,Indian National Congress,11895,608,12503,6.99,Araku Valley
137,28,RAJARAO PANGI,Bharatiya Janata Party,32933,848,33781,18.89,Araku Valley
138,28,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,64983,675,65658,36.71,Araku Valley
139,28,LAKE RAJARAO,Bahujan Samaj Party,12814,692,13506,7.55,Araku Valley
140,28,KILLO ANIL KUMAR,Liberation Congress Party,935,3,938,0.52,Araku Valley
141,28,CHUNCHU RAJABABU,Gondwana Dandkaranya Party,947,8,955,0.53,Araku Valley
142,28,BURIDI UPENDRA,Jai Bharat National Party,1206,0,1206,0.67,Araku Valley
143,28,DR.RAMAKRISHNA PUCHAPUNDI,Bharat Adivasi Party,2054,6,2060,1.15,Araku Valley
144,28,ABRAHAM SIVERI,Independent,11368,265,11633,6.5,Araku Valley
145,28,ELIAH CHENDA,Independent,1199,84,1283,0.72,Araku Valley
146,28,KAMMIDI NIRMALA,Independent,938,7,945,0.53,Araku Valley
147,28,GEMMELI KRISHNARAO,Independent,1264,2,1266,0.71,Araku Valley
148,28,NARAJI MADHU BABU,Independent,1419,3,1422,0.8,Araku Valley
149,28,MOSIYA SUJATHA,Independent,2104,12,2116,1.18,Araku Valley
150,28,RAGHUNADH SAMARDI,Independent,10555,182,10737,6.0,Araku Valley
151,28,VANTHALA RAMANNA,Independent,13494,61,13555,7.58,Araku Valley
152,28,SAMARDI BHAVANI,Independent,1675,20,1695,0.95,Araku Valley
153,28,NOTA,None of the Above,3567,26,3593,2.01,Araku Valley
154,115,ANAM.RAMANARAYANA REDDY,Telugu Desam,89243,1922,91165,49.85,Atmakur
155,115,CHEVURU SREEDHARA REDDY,Indian National Congress,2888,27,2915,1.59,Atmakur
156,115,THOGATHARI KRISHNA,Bahujan Samaj Party,1033,18,1051,0.57,Atmakur
157,115,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,82505,1084,83589,45.7,Atmakur
158,115,NELLORE.KRISHNA REDDY,Yuga Thulasi Party,455,0,455,0.25,Atmakur
159,115,BELLAMKONDA VENKATESH,Vishwa Jana Party,102,1,103,0.06,Atmakur
160,115,BODDU RAJESWARI,Pyramid Party of India,55,3,58,0.03,Atmakur
161,115,RAMANARAYANA REDDY NAGA SAI,Jatiya Jana Sena Party,56,0,56,0.03,Atmakur
162,115,RAMISETTY VENKATESWARLU,Samajwadi Party,82,2,84,0.05,Atmakur
163,115,SYED SHUKKUR,Indian Union Muslim League,120,0,120,0.07,Atmakur
164,115,GANGINENI SRINIVASULU,Independent,181,1,182,0.1,Atmakur
165,115,NAGELLA VENKATA BHANU PRAKASH,Independent,164,1,165,0.09,Atmakur
166,115,RAMNARAYANA REDDY DHANIREDDY,Independent,599,4,603,0.33,Atmakur
167,115,NOTA,None of the Above,2336,11,2347,1.28,Atmakur
168,76,ANDE SRI RAMAMURTHY,Indian National Congress,1043,25,1068,0.57,Avanigadda
169,76,GUNTURU NAGESWARARAO,Bahujan Samaj Party,423,13,436,0.23,Avanigadda
170,76,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,66142,884,67026,35.95,Avanigadda
171,76,AMBETHKAR. SAMUDRALA.,Jaibhim Rao Bharat Party,414,6,420,0.23,Avanigadda
172,76,NANCHARAIAH VENKATA MUNGARA,Pyramid Party of India,344,1,345,0.19,Avanigadda
173,76,BUDDHAPRASAD MANDALI,Janasena Party,110959,2501,113460,60.85,Avanigadda
174,76,BOYINA BUDDAPRASAD,Navarang Congress Party,688,1,689,0.37,Avanigadda
175,76,VENTRAPRAGADA. ANAND KUMAR,Jatiya Jana Sena Party,313,0,313,0.17,Avanigadda
176,76,GIRIDHAR NAIDU NADELLA,Independent,123,2,125,0.07,Avanigadda
177,76,CHANTI TANANKI,Independent,189,1,190,0.1,Avanigadda
178,76,NEELA. MANOHARA BABU,Independent,237,0,237,0.13,Avanigadda
179,76,MATHI PUSHPA KUMAR,Independent,183,1,184,0.1,Avanigadda
180,76,NOTA,None of the Above,1933,19,1952,1.05,Avanigadda
181,124,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,89371,1039,90410,51.7,Badvel
182,124,NEERUGATTU DORA VIJAYA JYOTHI,Indian National Congress,7121,245,7366,4.21,Badvel
183,124,BOJJA ROSHANNA,Bharatiya Janata Party,70000,1843,71843,41.08,Badvel
184,124,SAGALI GURAPPA,Bahujan Samaj Party,652,7,659,0.38,Badvel
185,124,ALLURI SREENIVASULU,Jai Bharat National Party,135,6,141,0.08,Badvel
186,124,KAMAGANDLA OBAIAH,Super Rangers Party,128,1,129,0.07,Badvel
187,124,GAMGADHAR DODAGOLLA,Jana Sahayaka Sakthi,70,0,70,0.04,Badvel
188,124,BHAVANASI VENKATASUBBARAYUDU,Samajwadi Party,64,1,65,0.04,Badvel
189,124,SINGAMALA VENKATESHWARLU,All India Forward Bloc,64,0,64,0.04,Badvel
190,124,PASUPULA BALA KRISHNA,Independent,69,3,72,0.04,Badvel
191,124,MADDELA MALLIKARJUNA RAO,Independent,85,3,88,0.05,Badvel
192,124,MUNNELLI GURAIAH,Independent,162,0,162,0.09,Badvel
193,124,YAMBADI SINGARAIAH,Independent,251,0,251,0.14,Badvel
194,124,VANKELA SRINIVASULU,Independent,483,1,484,0.28,Badvel
195,124,NOTA,None of the Above,3056,20,3076,1.76,Badvel
196,140,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,84320,717,85037,41.33,Banaganapalle
197,140,GUTAM PULLAIAH (BALU YADAV),Indian National Congress,3319,25,3344,1.63,Banaganapalle
198,140,G. CHENNAYYA,Bahujan Samaj Party,1029,1,1030,0.5,Banaganapalle
199,140,B.C. JANARDHAN REDDY,Telugu Desam,109194,1409,110603,53.76,Banaganapalle
200,140,GOGULA SUGUNAMMA,Jai Maha Bharath Party,346,1,347,0.17,Banaganapalle
201,140,CHINNA SHETTI VENKATASUBBAYYA,Jaathia Chethi Vruthula Ikya Vedika Party,89,0,89,0.04,Banaganapalle
202,140,AMBATI RAVI KUMAR REDDY,Independent,44,0,44,0.02,Banaganapalle
203,140,EDIGA GURU PRADEEP,Independent,80,0,80,0.04,Banaganapalle
204,140,KASIREDDY RAGHUNATHA REDDY,Independent,97,1,98,0.05,Banaganapalle
205,140,KALINGIRI RAMUDU,Independent,74,0,74,0.04,Banaganapalle
206,140,KEDAM SUBBARAYUDU,Independent,96,1,97,0.05,Banaganapalle
207,140,KONUDULA VENKATA REDDY,Independent,103,1,104,0.05,Banaganapalle
208,140,GANGAVARAPU SIVA PRASAD,Independent,160,0,160,0.08,Banaganapalle
209,140,GUVVALA SUBBAREDDY,Independent,195,0,195,0.09,Banaganapalle
210,140,NARAHARISETTI RAVI,Independent,201,0,201,0.1,Banaganapalle
211,140,A. V. NAGI REDDY,Independent,554,0,554,0.27,Banaganapalle
212,140,Y. MADHU KRISHNA,Independent,573,0,573,0.28,Banaganapalle
213,140,MARAM SATYAM REDDY,Independent,366,0,366,0.18,Banaganapalle
214,140,G. MOHAN REDDY,Independent,294,0,294,0.14,Banaganapalle
215,140,RAGIMANU SANJEEVA KUMAR,Independent,289,0,289,0.14,Banaganapalle
216,140,M. RAMACHANDRA NAIK,Independent,100,0,100,0.05,Banaganapalle
217,140,Y. RAMACHANDRA REDDY,Independent,41,0,41,0.02,Banaganapalle
218,140,K. VENKATA SIVA REDDY,Independent,61,0,61,0.03,Banaganapalle
219,140,P. VENKATA SUBBAREDDY,Independent,58,0,58,0.03,Banaganapalle
220,140,U. SIVA NAGIREDDY,Independent,68,0,68,0.03,Banaganapalle
221,140,G. SESHASAYANA REDDY,Independent,79,0,79,0.04,Banaganapalle
222,140,T. V. SREENIVASULU,Independent,61,0,61,0.03,Banaganapalle
223,140,G. SUBBARAYUDU,Independent,165,0,165,0.08,Banaganapalle
224,140,NOTA,None of the Above,1516,12,1528,0.74,Banaganapalle
225,92,ANJIBABU GANTA,Indian National Congress,4088,105,4193,2.6,Bapatla
226,92,KONA RAGHUPATHI,Yuvajana Sramika Rythu Congress Party,62027,831,62858,38.99,Bapatla
227,92,GUDE RAJARAO,Bahujan Samaj Party,1047,7,1054,0.65,Bapatla
228,92,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,88827,1799,90626,56.21,Bapatla
229,92,DEVARAKONDA RAJESWARA RAO,Pyramid Party of India,259,2,261,0.16,Bapatla
230,92,REGULAGADDA CHANDRA SEKHARARAO,Viduthalai Chiruthaigal Katchi,68,0,68,0.04,Bapatla
231,92,SRINIVASA RAO GORLA,Samajwadi Party,63,4,67,0.04,Bapatla
232,92,KATIKALA SIVABHAGYARAO,Independent,118,10,128,0.08,Bapatla
233,92,KOCHARA VINAYARAJU,Independent,42,1,43,0.03,Bapatla
234,92,DENDUKURI SITA RAMA RAJU,Independent,407,5,412,0.26,Bapatla
235,92,PITTU. BUSI REDDY,Independent,39,0,39,0.02,Bapatla
236,92,P. PRASAD,Independent,46,1,47,0.03,Bapatla
237,92,BETHALAM YASWANTH,Independent,57,1,58,0.04,Bapatla
238,92,MARUPROLU. CHENNAKESAVAREDDY,Independent,101,0,101,0.06,Bapatla
239,92,D.SAALINI,Independent,142,1,143,0.09,Bapatla
240,92,NOTA,None of the Above,1113,15,1128,0.7,Bapatla
241,59,ANKEM SEETARAM,Indian National Congress,3205,47,3252,1.59,Bhimavaram
242,59,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,62662,788,63450,31.11,Bhimavaram
243,59,BUGGE RACHERLA,Bahujan Samaj Party,1037,0,1037,0.51,Bhimavaram
244,59,ALLURI SRINIVASA RAJU,Pyramid Party of India,269,1,270,0.13,Bhimavaram
245,59,KADIEM RAMANJANEYULU,Jatiya Jana Sena Party,631,5,636,0.31,Bhimavaram
246,59,DANDU . SRINIVASA RAJU,All India Forward Bloc,219,2,221,0.11,Bhimavaram
247,59,PEPETI VADDI KASULU,Bharatha Chaitanya Yuvajana Party,272,0,272,0.13,Bhimavaram
248,59,PERICHERLA RAMANJANEYULU,Navarang Congress Party,1503,0,1503,0.74,Bhimavaram
249,59,BASWANI PAVAN KUMAR,Jaibhim Rao Bharat Party,574,1,575,0.28,Bhimavaram
250,59,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,128701,1723,130424,63.94,Bhimavaram
251,59,YEDUKONDALU,Independent,388,0,388,0.19,Bhimavaram
252,59,GUGGILAPU RAMAKRISHNA,Independent,143,0,143,0.07,Bhimavaram
253,59,CHAMAKURI KUSUMA KUMARI PADMAVATHI,Independent,131,0,131,0.06,Bhimavaram
254,59,MANDAVA. NAGESWARA RAO,Independent,240,0,240,0.12,Bhimavaram
255,59,MEHAR MANOHAR PENTAPATI,Independent,231,0,231,0.11,Bhimavaram
256,59,NOTA,None of the Above,1199,11,1210,0.59,Bhimavaram
257,20,VENKATA VARMARAJU ADDALA,Indian National Congress,5073,74,5147,1.85,Bhimili
258,20,GANTA SRINIVASA RAO,Telugu Desam,173467,2763,176230,63.34,Bhimili
259,20,BAGAM GOPALA RAO,Bahujan Samaj Party,2504,19,2523,0.91,Bhimili
260,20,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,82732,1097,83829,30.13,Bhimili
261,20,ELIPILLI ANIL KUMAR,Jai Bharat National Party,591,9,600,0.22,Bhimili
262,20,KOLA HARIBABU,Republican Party of India (A),397,1,398,0.14,Bhimili
263,20,GANTA SRINIVASARAO,Jatiya Jana Sena Party,175,8,183,0.07,Bhimili
264,20,CHODIPALLI RAJU,Samajwadi Party,133,1,134,0.05,Bhimili
265,20,CHOPPALLI SARAVAN GANESH,Independent,393,0,393,0.14,Bhimili
266,20,NAGAMANI NAGOTU,Independent,255,4,259,0.09,Bhimili
267,20,NOOKALA SURYA PRAKASH,Independent,279,9,288,0.1,Bhimili
268,20,NANDIKOLLA SANDHYA,Independent,163,1,164,0.06,Bhimili
269,20,BAVISETTY RAMANA BABU,Independent,508,4,512,0.18,Bhimili
270,20,BUGATHA RAMU,Independent,4002,30,4032,1.45,Bhimili
271,20,MEKA SATHYA KIRAN,Independent,482,0,482,0.17,Bhimili
272,20,NOTA,None of the Above,3028,33,3061,1.1,Bhimili
273,14,MARIPI VIDYASAGAR (VINAY),Indian National Congress,4753,29,4782,2.53,Bobbili
274,14,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,110111,2255,112366,59.45,Bobbili
275,14,VENKATA CHINA APPALA NAIDU SAMBANGI,Yuvajana Sramika Rythu Congress Party,66875,843,67718,35.83,Bobbili
276,14,SAVALAPURAM RAMANA,Bahujan Samaj Party,596,3,599,0.32,Bobbili
277,14,KIRAN KUMAR. REDDY,Samajwadi Party,173,2,175,0.09,Bobbili
278,14,MARADANA. VENKATA NAIDU,Jaibhim Rao Bharat Party,232,2,234,0.12,Bobbili
279,14,PRASANTH AKETI,Independent,327,3,330,0.17,Bobbili
280,14,MARRAPU BHANU MURTY.,Independent,259,0,259,0.14,Bobbili
281,14,NOTA,None of the Above,2551,10,2561,1.35,Bobbili
282,166,CHEVIREDDY MOHITH REDDY,Yuvajana Sramika Rythu Congress Party,98304,1511,99815,39.1,Chandragiri
283,166,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,140861,2806,143667,56.29,Chandragiri
284,166,K SRINIVASULU,Indian National Congress,2957,14,2971,1.16,Chandragiri
285,166,P.KARTHIK,Jatiya Jana Sena Party,741,3,744,0.29,Chandragiri
286,166,K ESWARAIAH,Liberation Congress Party,227,1,228,0.09,Chandragiri
287,166,THURAKA AMARANATH,Jai Bharat National Party,146,4,150,0.06,Chandragiri
288,166,L.PRASAD,Jaathia Chethi Vruthula Ikya Vedika Party,115,0,115,0.05,Chandragiri
289,166,MAHESH BABU MALLELA,Revolutionary Socialist Party,286,0,286,0.11,Chandragiri
290,166,M.NEELAKANTA,Jai Hindustan Party,121,0,121,0.05,Chandragiri
291,166,MOHAN DILEEP KUMAR,United Republican Party of India,91,0,91,0.04,Chandragiri
292,166,PATHIPUTTURU VISWANATHA REDDY,Naba Bharata Nirmana Seva Party,75,0,75,0.03,Chandragiri
293,166,DUDEKULA ALTAF,Independent,96,1,97,0.04,Chandragiri
294,166,EDDALA SRINATH,Independent,139,0,139,0.05,Chandragiri
295,166,C.N.SARAVANAA,Independent,177,5,182,0.07,Chandragiri
296,166,T.GOWTHAMA RAO,Independent,339,13,352,0.14,Chandragiri
297,166,C PAYANI,Independent,594,0,594,0.23,Chandragiri
298,166,AKKILIGUNTA MADHU,Independent,693,0,693,0.27,Chandragiri
299,166,K RAJESH,Independent,762,0,762,0.3,Chandragiri
300,166,RAMBABU DASARI,Independent,138,0,138,0.05,Chandragiri
301,166,P.VENKATAKRISHNA MURTHY,Independent,2014,8,2022,0.79,Chandragiri
302,166,P.SREEDHAR,Independent,68,0,68,0.03,Chandragiri
303,166,K.SAI CHANDRIKA,Independent,71,0,71,0.03,Chandragiri
304,166,S.RAJASEKHAR,Independent,54,0,54,0.02,Chandragiri
305,166,HARI RAM VADRAYALA,Independent,114,0,114,0.04,Chandragiri
306,166,NOTA,None of the Above,1669,31,1700,0.67,Chandragiri
307,15,AADINARAYANA JAMMU,Indian National Congress,4075,12,4087,2.36,Cheepurupalle
